Transaction_ID,User_ID,Transaction_Amount,Transaction_Type,Timestamp,Account_Balance,Device_Type,Location,Merchant_Category,IP_Address_Flag,Previous_Fraudulent_Activity,Daily_Transaction_Count,Avg_Transaction_Amount_7d,Failed_Transaction_Count_7d,Card_Type,Card_Age,Transaction_Distance,Authentication_Method,Risk_Score,Is_Weekend,Fraud_Label
TXN_33553,USER_1834,39.79,POS,2023-08-14 19:30:00,93213.17,Laptop,Sydney,,0.0,0.0,7.0,437.63,3.0,Amex,65.0,883.17,Biometric,0.8494,0.0,0.0
TXN_9427,USER_7875,1.19,Bank Transfer,2023-06-07 04:01:00,75725.25,Mobile,New York,Clothing,0.0,0.0,13.0,478.76,4.0,Mastercard,186.0,2203.36,Password,0.0959,0.0,1.0
TXN_199,USER_2734,28.96,Online,2023-06-20 15:25:00,1588.96,Tablet,Mumbai,Restaurants,0.0,0.0,14.0,50.01,4.0,Visa,226.0,1909.29,Biometric,0.84,,1.0
TXN_12447,USER_2617,254.32,ATM Withdrawal,2023-12-07 00:31:00,76807.2,Tablet,New York,Clothing,0.0,0.0,8.0,182.48,4.0,Visa,,1311.86,OTP,0.7935,0.0,1.0
TXN_39489,USER_2014,31.28,POS,2023-11-11 23:44:00,92354.66,Mobile,Mumbai,Electronics,0.0,1.0,14.0,328.69,4.0,Mastercard,140.0,966.98,Password,0.3819,1.0,1.0
TXN_42724,USER_6852,168.55,Online,2023-06-05 20:55:00,33236.94,Laptop,Tokyo,Restaurants,0.0,0.0,3.0,226.85,2.0,Discover,51.0,1725.64,OTP,0.0504,0.0,0.0
TXN_10822,USER_5052,3.79,POS,2023-11-07 01:18:00,86834.18,Tablet,London,Restaurants,0.0,0.0,2.0,298.35,2.0,Mastercard,168.0,3757.19,Password,0.0875,0.0,
TXN_49498,USER_4660,7.08,ATM Withdrawal,2023-02-25 03:43:00,45826.27,Tablet,London,Restaurants,0.0,0.0,3.0,164.38,4.0,Discover,182.0,1764.66,Biometric,0.5326,0.0,1.0
TXN_4144,USER_1584,34.25,ATM Withdrawal,2023-03-09 22:51:00,94392.35,Tablet,Tokyo,Clothing,0.0,0.0,7.0,90.02,3.0,Visa,24.0,550.38,Biometric,0.1347,1.0,0.0
TXN_36958,USER_9498,16.24,POS,2023-09-20 17:27:00,91859.97,,Mumbai,Travel,0.0,0.0,6.0,474.42,1.0,Mastercard,124.0,720.91,PIN,0.3394,0.0,0.0
